Artikelgruppe;Name
1;Weizenbrot
2;Mischbrot
3;Vollkornbrot
4;Spezialbrot
5;Stangenbrote
6;Brötchen
7;Süße Brötchen
8;Herzhafte Brötchen
9;KonditoreiBlech1
10;KonditoreiBlech2
11;Stückgebäck
12;Blechkuchen
13;Weihnachtsartikel
